"id","clave","nombre","numeroLatitud","numeroLongitud","numeroAltitud","claveCarta","entidades_id","municipios_id","created_at","updated_at","deleted_at"
"11327","0998","Santa María Jol-Já","165926.016","915120.016","800","E15D54","7","59",,,
"11328","0999","Macedonia","165853.004","915030.012","857","E15D54","7","59",,,
"11329","1000","El Mango","165902.004","915200.012","826","E15D54","7","59",,,
"11330","1001","San Antonio","165854.012","915218.984","819","E15D54","7","59",,,
"11331","1002","Pamanavil","165940.072","915248.305","906","E15D54","7","59",,,
"11332","1003","Boca del Cerro","165848","915245.984","826","E15D54","7","59",,,
"11333","1004","Santa Martha","165853.004","915142.012","763","E15D54","7","59",,,
"11334","1009","Santa Cruz","165841.988","914914.016","819","E15D54","7","59",,,
"11335","1010","Santa Isabel","165848","914910.992","771","E15D54","7","59",,,
"11336","1011","Granizo","165845.984","914912","789","E15D54","7","59",,,
